DATE,STATION_ID,NAME,COUNTRY,YEAR,MONTH,TMAX,BASELINE,ZSCORE,EVENT_TYPE,SEVERITY
2018-04-28,TH000048480,CHANTHABURI,Thailand,2018,4,25.5,34.42080924855494,-7.16128585215525,Cold Snap,7.16
2002-11-24,TH000048550,KO SAMUI,Thailand,2002,11,39.5,29.995265151515156,7.154526889693392,Heatwave,7.15
2008-04-29,VMM00048914,CA MAU,Vietnam,2008,4,26.5,33.702810304449685,-6.252271825229961,Cold Snap,6.25
2011-03-30,BMM00048112,VICTORIA POINT,Myanmar,2011,3,21.2,34.33061224489801,-6.233096291880712,Cold Snap,6.23
2003-12-17,RP000098836,ZAMBOANGA,Philippines,2003,12,25.0,33.10829493087559,-6.222117505068809,Cold Snap,6.22
2018-06-25,IDM00096741,JAKARTA/TANJUNG PRIOK,Indonesia,2018,6,25.6,32.67644110275691,-6.158322220337975,Cold Snap,6.16
2022-02-27,IDM00096001,MAIMUN SALEH,Indonesia,2022,2,25.2,30.44249011857708,-6.131327921136118,Cold Snap,6.13
2008-04-30,BMM00048097,YANGON INTL,Myanmar,2008,4,26.5,38.003990024937664,-6.109398869606684,Cold Snap,6.11
2011-03-29,BMM00048112,VICTORIA POINT,Myanmar,2011,3,21.5,34.33061224489801,-6.090686413903333,Cold Snap,6.09
2013-10-17,TH000048351,UTTARADIT,Thailand,2013,10,25.1,34.15227272727274,-6.074248796945031,Cold Snap,6.07
2011-02-02,RP000098836,ZAMBOANGA,Philippines,2011,2,25.4,33.04004796163068,-6.059587976369745,Cold Snap,6.06
2015-10-11,THW00041018,UDON THANI,Thailand,2015,10,22.0,32.489195979899506,-6.0524764578333015,Cold Snap,6.05
2023-08-25,IDM00096581,SUPADIO,Indonesia,2023,8,25.2,33.03044619422576,-6.008437271859871,Cold Snap,6.01
2015-01-09,TH000048325,MAE SARIANG,Thailand,2015,1,21.6,31.865789473684213,-6.006751756215776,Cold Snap,6.01
2017-12-27,TH000048477,SATTAHIP,Thailand,2017,12,24.5,33.29913606911447,-5.935531645480348,Cold Snap,5.94
2021-01-17,MYM00096471,KOTA KINABALU INTL,Malaysia,2021,1,24.1,31.46150234741784,-5.908727865653633,Cold Snap,5.91
2017-12-26,TH000048501,KHLONG YAI,Thailand,2017,12,24.0,32.38875739644971,-5.892499752907871,Cold Snap,5.89
2024-12-07,TH000048568,SONGKHLA,Thailand,2024,12,37.9,29.898286937901513,5.894067297201632,Heatwave,5.89
2016-01-19,TH000048475,HUA HIN,Thailand,2016,1,38.5,29.819559228650153,5.890226478805647,Heatwave,5.89
2008-04-30,TH000048325,MAE SARIANG,Thailand,2008,4,25.0,38.29294117647058,-5.882232659611998,Cold Snap,5.88
2019-03-22,VMM00048914,CA MAU,Vietnam,2019,3,39.0,32.40871559633029,5.846296372606897,Heatwave,5.85
2005-05-30,IDM00096633,SEPINGGAN,Indonesia,2005,5,38.6,31.42056074766355,5.831667044091781,Heatwave,5.83
2016-01-26,TH000048379,PHETCHABUN,Thailand,2016,1,20.0,32.801385681293304,-5.824833333773219,Cold Snap,5.82
2022-05-03,TH000048432,SURIN,Thailand,2022,5,21.3,34.97459165154262,-5.8076388527616185,Cold Snap,5.81
2021-02-27,TH000048550,KO SAMUI,Thailand,2021,2,35.1,29.505813953488353,5.794416336893177,Heatwave,5.79
2013-04-07,IDM00097406,GALELA/GAMARMALAMU,Indonesia,2013,4,26.4,32.31121495327104,-5.78860454487872,Cold Snap,5.79
2022-04-03,TH000048430,PRACHIN BURI,Thailand,2022,4,26.5,37.24769797421736,-5.775358598162585,Cold Snap,5.78
2010-09-06,IDM00096739,BUDIARTO,Indonesia,2010,9,26.4,33.621169916434496,-5.752899260725475,Cold Snap,5.75
2015-01-10,TH000048375,MAE SOT,Thailand,2015,1,22.5,32.24916201117317,-5.734760232162818,Cold Snap,5.73
2011-05-08,RP000098444,LEGASPI,Philippines,2011,5,24.8,32.732997987927554,-5.725452276395809,Cold Snap,5.73
2024-11-08,TH000048325,MAE SARIANG,Thailand,2024,11,23.7,33.04596153846154,-5.725999434206553,Cold Snap,5.73
2019-03-23,IDM00096015,MEULABOH/CUT NYAK,Indonesia,2019,3,37.6,31.52792607802877,5.7071395514590835,Heatwave,5.71
2016-07-20,IDM00096837,SEMARANG,Indonesia,2016,7,27.8,33.0304347826087,-5.702481881379488,Cold Snap,5.7
2019-03-18,ID000096805,CILACAP,Indonesia,2019,3,26.4,32.200970873786396,-5.695789623193538,Cold Snap,5.7
2011-03-30,TH000048357,NAKHON PHANOM,Thailand,2011,3,16.8,34.25099778270509,-5.703802085996555,Cold Snap,5.7
2011-03-30,TH000048550,KO SAMUI,Thailand,2011,3,23.9,30.48781362007169,-5.688957518059045,Cold Snap,5.69
2021-02-26,TH000048550,KO SAMUI,Thailand,2021,2,35.0,29.505813953488353,5.690837079987582,Heatwave,5.69
2017-01-07,TH000048565,PHUKET AIRPORT,Thailand,2017,1,25.6,32.2138211382114,-5.682445439174478,Cold Snap,5.68
2006-02-13,TH000048517,CHUMPHON,Thailand,2006,2,24.2,31.918644067796617,-5.663997037483993,Cold Snap,5.66
2011-12-17,IDM00097380,SABU/TARDAMU,Indonesia,2011,12,39.3,32.566105769230795,5.652627341678768,Heatwave,5.65
2011-03-28,TH000048477,SATTAHIP,Thailand,2011,3,26.3,33.44370860927153,-5.652310139043938,Cold Snap,5.65
2007-05-06,IDM00096685,SYAMSUDIN NOOR,Indonesia,2007,5,25.5,33.21671309192201,-5.652739310791866,Cold Snap,5.65
2008-02-01,BMM00048097,YANGON INTL,Myanmar,2008,2,26.4,35.241206030150764,-5.642310404492338,Cold Snap,5.64
2016-01-25,TH000048477,SATTAHIP,Thailand,2016,1,24.8,32.69260869565219,-5.630900460664135,Cold Snap,5.63
2009-02-06,MYM00096471,KOTA KINABALU INTL,Malaysia,2009,2,24.3,31.54191919191919,-5.625620376060638,Cold Snap,5.63
2022-04-19,IDM00096645,ISKANDAR,Indonesia,2022,4,25.6,32.830806845965775,-5.611317073936774,Cold Snap,5.61
2011-04-20,ID000097340,WAINGAPU/MAU HAU,Indonesia,2011,4,26.8,32.51498929336189,-5.6009170224552625,Cold Snap,5.6
2001-10-29,TH000048303,CHIANG RAI,Thailand,2001,10,21.5,31.330395683453297,-5.589341360215965,Cold Snap,5.59
2001-01-30,ID000096805,CILACAP,Indonesia,2001,1,25.8,32.0644278606965,-5.580678168350322,Cold Snap,5.58
2007-11-19,RPM00098646,MACTAN CEBU INTL,Philippines,2007,11,26.0,31.30435967302453,-5.572934155960871,Cold Snap,5.57
2003-12-05,ID000097014,MENADO/ SAM RATULAN,Indonesia,2003,12,24.5,30.992907801418447,-5.56962085475866,Cold Snap,5.57
2000-11-30,IDM00097120,MAJENE,Indonesia,2000,11,26.2,32.389124668435,-5.555107016406768,Cold Snap,5.56
2008-05-13,RPM00098644,TAGBILARAN,Philippines,2008,5,26.4,33.085801217038515,-5.556460823881969,Cold Snap,5.56
2005-04-08,IDM00096987,BANYUWANGI,Indonesia,2005,4,26.6,31.963774403470694,-5.561552250825538,Cold Snap,5.56
2021-02-09,TH000048480,CHANTHABURI,Thailand,2021,2,25.3,33.041439688715954,-5.557785930073421,Cold Snap,5.56
2016-02-08,TH000048455,BANGKOK METROPOLIS,Thailand,2016,2,26.7,34.01590038314177,-5.551997030481516,Cold Snap,5.55
2016-01-27,TH000048376,TAK,Thailand,2016,1,18.8,32.56969696969696,-5.536469502496801,Cold Snap,5.54
2000-12-01,RPM00098330,CABANATUAN,Philippines,2000,12,23.4,32.17692307692305,-5.531818016136515,Cold Snap,5.53
2010-10-25,IDM00096237,PANGKALPINANG,Indonesia,2010,10,24.5,32.27272727272728,-5.52079082947186,Cold Snap,5.52
2005-06-22,IDM00096839,ACHMAD YANI,Indonesia,2005,6,27.0,32.87175792507204,-5.503430346229824,Cold Snap,5.5
2000-11-04,IDM00097780,ENAROTALI,Indonesia,2000,11,32.4,25.31049723756905,5.501876361774816,Heatwave,5.5
2024-07-02,IDM00096655,TJILIK RIWUT,Indonesia,2024,7,25.3,32.44276595744682,-5.495543418507498,Cold Snap,5.5
2006-04-03,ID000097690,JAYAPURA/SENTANI,Indonesia,2006,4,24.8,32.755214723926365,-5.501861820747353,Cold Snap,5.5
2000-03-01,TH000048425,SUPHAN BURI,Thailand,2000,3,25.1,36.153146853146886,-5.490745247479812,Cold Snap,5.49
2014-11-06,BMM00048097,YANGON INTL,Myanmar,2014,11,25.6,33.963033175355456,-5.493234931136378,Cold Snap,5.49
2010-10-28,IDM00097700,NAMLEA/BURU ISLAND,Indonesia,2010,10,27.4,32.28342696629215,-5.4860531898364755,Cold Snap,5.49
2010-10-10,IDM00097700,NAMLEA/BURU ISLAND,Indonesia,2010,10,27.4,32.28342696629215,-5.4860531898364755,Cold Snap,5.49
2016-02-07,THM00048453,BANG NA AGROMET,Thailand,2016,2,26.0,33.465775401069536,-5.476770191167208,Cold Snap,5.48
2004-02-07,TH000048378,PHITSANULOK/SARIT,Thailand,2004,2,23.5,33.608920187793444,-5.481333965170162,Cold Snap,5.48
2020-04-17,TH000048480,CHANTHABURI,Thailand,2020,4,27.6,34.42080924855494,-5.47548584561861,Cold Snap,5.48
2008-05-03,RPM00098644,TAGBILARAN,Philippines,2008,5,26.5,33.085801217038515,-5.473352447735194,Cold Snap,5.47
2020-11-28,IDM00096253,FATMAWATI SOEKARNO,Indonesia,2020,11,24.7,31.103980099502483,-5.462231020375346,Cold Snap,5.46
2001-03-11,TH000048475,HUA HIN,Thailand,2001,3,25.6,32.30729927007299,-5.460801421427005,Cold Snap,5.46
2007-03-20,VMM00048917,PHU QUOC,Vietnam,2007,3,25.8,32.19700000000002,-5.460946324036956,Cold Snap,5.46
2017-12-27,TH000048325,MAE SARIANG,Thailand,2017,12,21.2,31.50363288718928,-5.440920078472124,Cold Snap,5.44
2004-02-07,TH000048376,TAK,Thailand,2004,2,22.8,35.46795366795368,-5.444414941587624,Cold Snap,5.44
2016-01-25,THW00041018,UDON THANI,Thailand,2016,1,14.2,30.509047619047614,-5.44453760511128,Cold Snap,5.44
2018-03-29,TH000048501,KHLONG YAI,Thailand,2018,3,27.3,32.77531992687389,-5.430270358026358,Cold Snap,5.43
2001-02-04,RPM00098446,VIRAC,Philippines,2001,2,36.4,29.581190476190482,5.425649419316579,Heatwave,5.43
2022-11-29,ID000097900,SAUMLAKI/OLILIT,Indonesia,2022,11,27.8,33.091099476439794,-5.431707827690233,Cold Snap,5.43
2010-01-20,VM000048900,TAN SON HOA,Vietnam,2010,1,24.0,32.31653543307086,-5.426069162278389,Cold Snap,5.43
2016-05-05,IDM00097630,FAK-FAK/TOREA,Indonesia,2016,5,35.0,29.731428571428562,5.428031772600901,Heatwave,5.43
2013-04-06,IDM00096015,MEULABOH/CUT NYAK,Indonesia,2013,4,26.2,31.494243070362494,-5.419514906226049,Cold Snap,5.42
2007-03-20,TH000048480,CHANTHABURI,Thailand,2007,3,26.8,33.53192982456138,-5.416162324125969,Cold Snap,5.42
2012-02-18,TH000048501,KHLONG YAI,Thailand,2012,2,26.8,32.27331975560081,-5.422755952400874,Cold Snap,5.42
2000-07-12,TH000048431,NAKHON RATCHASIMA,Thailand,2000,7,24.7,34.2181459566075,-5.410372363310303,Cold Snap,5.41
2011-09-11,TH000048568,SONGKHLA,Thailand,2011,9,25.5,33.03398437500004,-5.411027217050824,Cold Snap,5.41
2012-04-29,BMM00048062,SITTWE,Myanmar,2012,4,26.6,33.67288135593221,-5.4145578190195325,Cold Snap,5.41
2011-03-18,TH000048330,PHRAE,Thailand,2011,3,25.3,36.403990024937684,-5.409194773788011,Cold Snap,5.41
2000-04-15,RP000098836,ZAMBOANGA,Philippines,2000,4,26.5,33.749880668257774,-5.404936426972084,Cold Snap,5.4
2008-03-27,IDM00097700,NAMLEA/BURU ISLAND,Indonesia,2008,3,35.0,30.934138972809652,5.39938738406612,Heatwave,5.4
2019-03-06,BMM00048042,MANDALAY,Myanmar,2019,3,24.8,37.088235294117645,-5.394417228293102,Cold Snap,5.39
2016-06-17,ID000096163,PADANG/TABING,Indonesia,2016,6,26.4,31.434564643799497,-5.385048763261415,Cold Snap,5.39
2011-03-29,TH000048500,PRACHUAP KHIRI KHAN,Thailand,2011,3,22.3,33.730194805194785,-5.392828309666201,Cold Snap,5.39
2022-11-18,IDM00097120,MAJENE,Indonesia,2022,11,26.4,32.389124668435,-5.375595136649742,Cold Snap,5.38
2005-03-08,RPM00098646,MACTAN CEBU INTL,Philippines,2005,3,25.1,31.13199999999999,-5.377408362901993,Cold Snap,5.38
2000-12-08,IDM00097780,ENAROTALI,Indonesia,2000,12,32.6,24.76746411483252,5.382834397943801,Heatwave,5.38
2016-01-25,TH000048430,PRACHIN BURI,Thailand,2016,1,22.7,33.26801872074882,-5.381600777209468,Cold Snap,5.38
2012-11-26,IDM00096035,POLONIA,Indonesia,2012,11,37.8,31.2173575129534,5.36656289169283,Heatwave,5.37
2009-07-12,TH000048569,HAT YAI,Thailand,2009,7,26.0,33.8611814345992,-5.374149425860352,Cold Snap,5.37
2011-03-30,TH000048356,SAKON NAKHON,Thailand,2011,3,16.7,34.141851106639805,-5.366534174898599,Cold Snap,5.37
2017-12-27,TH000048455,BANGKOK METROPOLIS,Thailand,2017,12,22.2,32.79007490636707,-5.34570395151403,Cold Snap,5.35
2001-02-10,VMM00048917,PHU QUOC,Vietnam,2001,2,37.6,31.58446215139442,5.3549088189707525,Heatwave,5.35
2006-05-22,IDM00096933,SURABAYA/PERAK,Indonesia,2006,5,27.8,33.52027491408935,-5.350489775481736,Cold Snap,5.35
2011-05-05,IDM00096737,SERANG,Indonesia,2011,5,27.0,32.74684873949579,-5.342678338994583,Cold Snap,5.34
2000-10-22,IDM00097180,HASANUDDIN,Indonesia,2000,10,26.4,34.16798679867987,-5.34284399830722,Cold Snap,5.34
2006-06-27,IDM00097048,JALALUDDIN,Indonesia,2006,6,25.8,32.18819444444443,-5.3404313895183995,Cold Snap,5.34
2011-03-30,TH000048383,MUKDAHAN,Thailand,2011,3,20.2,35.631906614786,-5.3390564307066315,Cold Snap,5.34
2011-03-30,TH000048431,NAKHON RATCHASIMA,Thailand,2011,3,19.8,35.842682926829276,-5.330654009882726,Cold Snap,5.33
2016-06-21,IDM00097406,GALELA/GAMARMALAMU,Indonesia,2016,6,26.3,31.98006535947713,-5.333781919665751,Cold Snap,5.33
2023-01-07,TH000048501,KHLONG YAI,Thailand,2023,1,25.8,32.10540540540541,-5.326143808447953,Cold Snap,5.33
2005-06-22,IDM00096837,SEMARANG,Indonesia,2005,6,27.8,32.89786223277912,-5.320205613668424,Cold Snap,5.32
2001-05-19,IDM00096075,BINAKA,Indonesia,2001,5,37.8,31.498224852071,5.319261897856038,Heatwave,5.32
2011-03-25,TH000048551,SURAT THANI,Thailand,2011,3,26.0,34.53535791757052,-5.309022125806522,Cold Snap,5.31
2006-06-17,IDM00097320,ALOR/MALI/KALABAHI,Indonesia,2006,6,27.4,31.427777777777802,-5.307280960281103,Cold Snap,5.31
2004-03-05,IDM00096179,DABO,Indonesia,2004,3,39.2,31.863461538461525,5.30383793034422,Heatwave,5.3
2011-03-30,TH000048569,HAT YAI,Thailand,2011,3,26.2,34.457081545064376,-5.29872216002111,Cold Snap,5.3
2006-04-29,TH000048300,MAE HONG SON,Thailand,2006,4,26.1,39.05470588235294,-5.301908965834017,Cold Snap,5.3
2005-12-27,IDM00097028,TOLI-TOLI/LALOS,Indonesia,2005,12,25.2,31.365586034912713,-5.302442203845419,Cold Snap,5.3
2022-10-15,TH000048405,ROI ET,Thailand,2022,10,22.8,31.92989323843416,-5.302145972828221,Cold Snap,5.3
2005-04-04,TH000048351,UTTARADIT,Thailand,2005,4,26.3,38.06208897485496,-5.298298130425459,Cold Snap,5.3
2021-04-04,IDM00097320,ALOR/MALI/KALABAHI,Indonesia,2021,4,27.6,31.96371308016879,-5.293130128904995,Cold Snap,5.29
